0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:12 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:12 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:12 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:13 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:13 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:13 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:13 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:13 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:13 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:14 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:14 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:14 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:14 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:15 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:15 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:15 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:15 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:16 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:16 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:17 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:17 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:17 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:17 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:18 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:18 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:19 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:19 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:19 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:19 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:19 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:19 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:20 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:20 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:20 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:20 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:28 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:28 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:51 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:51 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:52 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:52 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:52 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:44:52 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:45:41 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:45:41 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:45:41 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:45:41 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:45:41 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:45:41 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:45:41 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:45:41 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:09 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:09 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:09 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:09 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:10 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:10 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:10 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:10 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:10 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:10 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:10 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:46:10 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
